Sex,Age,Height,Team,NOC,Games,Game Type,Year,Date,Season,City,Sport,Event,Medal,Did Medal
F,27,156,Japan,JPN,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Table Tennis,Table Tennis Women's Team,Bronze,1
F,28,165,Japan,JPN,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Football,Football Women's Football,Silver,1
F,25,173,Poland,POL,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Rowing,Rowing Women's Double Sculls,Bronze,1
F,29,173,Poland,POL,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Rowing,Rowing Women's Double Sculls,Gold,1
M,34,180,Germany,GER,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Cycling,Cycling Men's Points Race,Bronze,1
F,35,168,Great Britain,GBR,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze,1
F,35,168,Great Britain,GBR,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver,1
M,23,190,Germany,GER,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Hockey,Hockey Men's Hockey,Gold,1
M,27,190,Germany,GER,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Hockey,Hockey Men's Hockey,Gold,1
M,31,190,Germany,GER,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Bronze,1
M,27,174,Japan,JPN,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Archery,Archery Men's Individual,Silver,1
M,28,181,Japan,JPN,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Cycling,Cycling Men's Team Sprint,Silver,1
F,25,168,Germany,GER,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Football,Football Women's Football,Bronze,1
F,21,172,Russia,RUS,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,1
